Name,Sign,Measure area,Date,Year,Value
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1986-12-31T00:00:00Z,1986,5.47
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1987-12-31T00:00:00Z,1987,4.24
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1988-12-31T00:00:00Z,1988,6.2
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1989-12-31T00:00:00Z,1989,7.71
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1990-12-31T00:00:00Z,1990,7.64
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1991-12-31T00:00:00Z,1991,6.64
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1992-12-31T00:00:00Z,1992,7.21
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1993-12-31T00:00:00Z,1993,6.31
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1994-12-31T00:00:00Z,1994,6.64
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1995-12-31T00:00:00Z,1995,6.42
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1996-12-31T00:00:00Z,1996,5.7
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1997-12-31T00:00:00Z,1997,7.02
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1998-12-31T00:00:00Z,1998,6.16
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1999-12-31T00:00:00Z,1999,7.5
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2000-12-31T00:00:00Z,2000,7.73
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2001-12-31T00:00:00Z,2001,6.85
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2002-12-31T00:00:00Z,2002,7.36
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2003-12-31T00:00:00Z,2003,7.01
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2004-12-31T00:00:00Z,2004,6.85
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2005-12-31T00:00:00Z,2005,7.2
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2006-12-31T00:00:00Z,2006,7.7
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2007-12-31T00:00:00Z,2007,7.4
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2008-12-31T00:00:00Z,2008,7.8
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2009-12-31T00:00:00Z,2009,6.9
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2010-12-31T00:00:00Z,2010,5.3
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2011-12-31T00:00:00Z,2011,7.8
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2012-12-31T00:00:00Z,2012,6.5
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2013-12-31T00:00:00Z,2013,7.1
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2014-12-31T00:00:00Z,2014,8.1
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2015-12-31T00:00:00Z,2015,8
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2016-12-31T00:00:00Z,2016,7.4
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2017-12-31T00:00:00Z,2017,7.2
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2018-12-31T00:00:00Z,2018,8.1
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2019-12-31T00:00:00Z,2019,7.8
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2020-12-31T00:00:00Z,2020,9
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,2021-12-31T00:00:00Z,2021,7.3
