Kapitel,Paragraf,Ord
1,33,tänkte
1,33,prästen
1,34,den
1,34,ena
1,34,kyrkvärden
1,34,harsklade
1,34,sig
1,35,»jag
1,35,menar
1,35,det
1,35,är
1,35,en
1,35,rar
1,35,präst
1,35,vi
1,35,ha»
1,35,sade
1,35,han
1,36,»vördig
1,36,biskopen
1,36,har
1,36,själv
1,36,hört
1,36,hur
1,36,han
1,36,predikar»
1,36,inföll
1,36,klockaren
1,37,biskopen
1,37,talade
1,37,något
1,37,om
1,37,täta
1,37,mässfall
1,38,»prästen
1,38,får
1,38,ha
1,38,lov
1,38,att
1,38,vara
1,38,sjuk
1,38,han
1,38,som
1,38,envar
1,38,annan»
1,38,menade
1,38,bönderna
1,39,biskopen
1,39,gjorde
1,39,en
1,39,antydan
1,39,om
1,39,deras
1,39,missnöje
1,39,med
1,39,prästens
1,39,levnadssätt
1,40,de
1,40,försvarade
1,40,honom
1,40,med
1,40,en
1,40,mun
1,40,han
1,40,var
1,40,så
1,40,ung
1,40,prästen
1,40,deras
1,40,det
1,40,var
1,40,ingen
1,40,fara
1,40,med
1,40,honom
1,40,nej
1,40,ville
1,40,han
1,40,bara
1,40,ständigt
1,40,predika
1,40,så
1,40,som
1,40,han
1,40,hade
1,40,gjort
1,40,i
1,40,dag
1,40,ville
1,40,de
1,40,inte
1,40,byta
1,40,bort
1,40,honom
1,40,mot
1,40,biskopen
1,40,själv
1,41,det
1,41,fanns
1,41,inga
1,41,anklagare
1,41,det
1,41,kunde
1,41,inte
1,41,finnas
1,41,någon
1,41,domare
1,42,prästen
1,42,kände
1,42,hur
1,42,hjärtat
1,42,vidgades
1,42,och
1,42,hur
1,42,lätt
1,42,blodet
1,42,flöt
1,42,genom
1,42,ådrorna
1,42,nej
1,42,att
1,42,han
1,42,inte
1,42,längre
1,42,gick
1,42,bland
1,42,fiender
1,42,att
1,42,han
1,42,hade
1,42,vunnit
1,42,dem
1,42,då
1,42,han
1,42,tänkte
1,42,det
1,42,minst
1,42,att
1,42,han
1,42,skulle
1,42,få
1,42,fortfara
1,42,att
1,42,vara
1,42,präst
1,43,efter
1,43,visitationen
1,43,åto
1,43,biskopen
1,43,och
1,43,skolprästerna
1,43,och
1,43,prostarna
1,43,och
1,43,de
1,43,förnämsta
1,43,socknemännen
1,43,middag
1,43,i
1,43,prästgården
1,44,en
1,44,av
1,44,grannfruarna
1,44,hade
1,44,övertagit
1,44,bestyret
1,44,med
1,44,festen
1,44,ty
1,44,prästen
1,44,var
1,44,ogift
1,44,hon
1,44,hade
1,44,ombestyrt
1,44,allt
1,44,på
1,44,bästa
1,44,sätt
1,44,och
1,44,han
1,44,fick
1,44,just
1,44,upp
1,44,ögonen
1,44,för
1,44,att
1,44,prästgården
1,44,inte
1,44,var
1,44,så
1,44,ohygglig
1,44,det
1,44,låga
1,44,middagsbordet
1,44,var
1,44,dukat
1,44,ute
1,44,under
1,44,granarna
1,44,och
1,44,stod
1,44,där
1,44,helt
1,44,trevligt
1,44,med
1,44,vit
1,44,duk
1,44,med
1,44,blått
1,44,och
1,44,vitt
1,44,porslin
1,44,med
1,44,glittrande
1,44,glas
1,44,och
1,44,brutna
1,44,servetter
1,44,två
1,44,björkar
1,44,stodo
1,44,och
1,44,bugade
1,44,över
1,44,ingången
1,44,enris
1,44,var
1,44,strött
1,44,över
1,44,golvet
1,44,i
1,44,förstugan
1,44,uppe
1,44,vid
1,44,takåsen
1,44,hängde
1,44,en
1,44,blomsterkrans
1,44,i
1,44,alla
1,44,rum
1,44,stodo
1,44,blommor
1,44,mögellukten
1,44,var
1,44,fördriven
1,44,och
1,44,de
1,44,gröna
1,44,fönsterrutorna
1,44,glittrade
1,44,käckt
1,44,i
1,44,solskenet
1,45,han
1,45,var
1,45,så
1,45,hjärtans
1,45,glad
1,45,prästen
1,45,han
1,45,tänkte
1,45,att
1,45,han
1,45,aldrig
1,45,skulle
1,45,supa
1,45,mer
1,46,det
1,46,var
1,46,ingen
1,46,som
1,46,inte
1,46,var
1,46,glad
1,46,vid
1,46,det
1,46,middagsbordet
1,46,de
1,46,som
1,46,hade
1,46,varit
1,46,storsinta
1,46,och
1,46,förlåtit
1,46,voro
1,46,glada
1,46,och
1,46,de
1,46,förnämligare
1,46,prästerna
1,46,voro
1,46,glada
1,46,därför
1,46,att
1,46,de
1,46,sluppit
1,46,ifrån
1,46,all
1,46,skandal
1,47,den
1,47,gode
1,47,biskopen
1,47,höjde
1,47,sitt
1,47,glas
1,47,och
1,47,talade
1,47,om
1,47,att
1,47,han
1,47,hade
1,47,anträtt
1,47,denna
1,47,resa
1,47,med
1,47,tungt
1,47,sinne
1,47,ty
1,47,han
1,47,hade
1,47,hört
1,47,många
1,47,onda
1,47,rykten
1,47,han
1,47,hade
1,47,gått
1,47,ut
1,47,för
1,47,att
1,47,möta
1,47,en
1,47,saulus
1,47,men
1,47,se
1,47,saulus
1,47,var
1,47,redan
1,47,förvandlad
1,47,till
1,47,en
1,47,paulus
1,47,som
1,47,skulle
1,47,mer
1,47,arbeta
1,47,än
1,47,de
1,47,alle
1,47,och
1,47,den
1,47,fromme
1,47,herrn
1,47,talade
1,47,vidare
1,47,om
1,47,de
1,47,rika
1,47,gåvor
1,47,som
1,47,deras
1,47,unge
1,47,broder
1,47,hade
1,47,erhållit
1,47,och
1,47,prisade
1,47,dem
1,47,inte
1,47,därför
1,47,att
1,47,han
1,47,måtte
1,47,högmodas
1,47,utan
1,47,för
1,47,att
1,47,han
1,47,skulle
1,47,spänna
1,47,alla
1,47,krafter
1,47,och
1,47,vakta
1,47,väl
1,47,på
1,47,sig
1,47,själv
1,47,såsom
1,47,den
1,47,måste
1,47,göra
1,47,som
1,47,bär
1,47,en
1,47,övermåttan
1,47,tung
1,47,och
1,47,dyrbar
1,47,börda
1,47,på
1,47,sina
1,47,axlar
1,48,prästen
1,48,blev
1,48,inte
1,48,drucken
1,48,den
1,48,middagen
1,48,men
1,48,rusig
1,48,var
1,48,han
1,48,all
1,48,denna
1,48,stora
1,48,oförväntade
1,48,lycka
1,48,steg
1,48,honom
1,48,åt
1,48,huvudet
1,48,himmelen
1,48,hade
1,48,låtit
1,48,inspirationens
1,48,eldtunga
1,48,flamma
1,48,över
1,48,honom
1,48,och
1,48,människorna
1,48,hade
1,48,givit
1,48,honom
1,48,sin
1,48,kärlek
1,48,blodet
1,48,fortfor
1,48,att
1,48,feberhett
1,48,och
1,48,med
1,48,rasande
1,48,fart
1,48,strömma
1,48,genom
1,48,hans
1,48,ådror
1,48,ännu
1,48,då
1,48,kvällen
1,48,kom
1,48,och
1,48,gästerna
1,48,foro
1,48,långt
1,48,fram
1,48,på
1,48,natten
1,48,satt
1,48,han
1,48,vaken
1,48,i
1,48,sitt
1,48,rum
1,48,och
1,48,lät
1,48,nattluften
1,48,strömma
1,48,in
1,48,genom
1,48,det
1,48,öppnade
1,48,fönstret
1,48,för
1,48,att
1,48,svalka
1,48,denna
1,48,lycksalighetsfeber
1,48,denna
1,48,ljuvliga
1,48,oro
1,48,som
1,48,inte
1,48,tillät
1,48,honom
1,48,att
1,48,sova
1,49,då
1,49,hördes
1,49,en
1,49,röst
1,50,»är
1,50,du
1,50,vaken
1,50,präst?»
1,51,det
1,51,kom
1,51,en
1,51,man
1,51,vandrande
1,51,över
1,51,gräsplanen
1,51,fram
1,51,till
1,51,fönstret
1,51,prästen
1,51,såg
1,51,ut
1,51,och
1,51,kände
1,51,igen
1,51,kapten
1,51,kristian
1,51,bergh
1,51,en
1,51,av
1,51,hans
1,51,trogna
1,51,supbröder
1,51,en
1,51,vägfarande
1,51,man
1,51,utan
1,51,hus
1,51,och
1,51,gård
1,51,var
1,51,han
1,51,denna
1,51,kapten
1,51,kristian
1,51,och
1,51,en
1,51,jätte
1,51,i
1,51,växt
1,51,och
1,51,krafter
1,51,stor
1,51,var
1,51,han
1,51,som
1,51,gurlita
1,51,klätt
1,51,och
1,51,dum
1,51,som
1,51,ett
1,51,bergtroll
1,52,»visst
1,52,är
1,52,jag
1,52,uppe
1,52,kapten
1,52,kristian»
1,52,svarade
1,52,prästen
1,52,»tycker
1,52,du
1,52,detta
1,52,är
1,52,en
1,52,natt
1,52,att
1,52,sova
1,52,i?»
1,53,och
1,53,hör
